log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-13T06:36:23.699+00:00Z,DECODE_SUCCESS,198,-22,,,,,,,True,5695,1749796578.0,-0.615,0.275,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,36.87479782104492,126.5085220336914,96.7
2025-06-13T06:36:27.026+00:00Z,CTRL_PKT_RECV,199,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:36:27.038+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,199,0x55,,,,,,,,,,,,,,,
2025-06-13T06:37:24.822+00:00Z,KEYBOARD_INTERRUPT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:24.823+00:00Z,PDR_CALCULATED,,,33.00% (66/200),,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:24.824+00:00Z,SERIAL_PORT_CLOSED,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:27.057+00:00Z,SERIAL_PORT_OPEN,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:34.059+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:41.068+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:43.026+00:00Z,HANDSHAKE_SYN_RECV,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:43.039+00:00Z,HANDSHAKE_ACK_SENT,,,,,,,0,0x00,,,,,,,,,,,,,,,
2025-06-13T06:37:43.039+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:45.370+00:00Z,CTRL_PKT_RECV,0,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:45.382+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,0,0x55,,,,,,,,,,,,,,,
2025-06-13T06:37:48.711+00:00Z,CTRL_PKT_RECV,1,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:48.722+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,1,0x55,,,,,,,,,,,,,,,
2025-06-13T06:37:55.733+00:00Z,CTRL_PKT_RECV,3,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:37:55.742+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,3,0x55,,,,,,,,,,,,,,,
2025-06-13T06:37:58.763+00:00Z,DATA_FRAME_RECV,3,-21,,,17,16,,,,,,,,,,,,,,,,,
2025-06-13T06:37:58.774+00:00Z,DATA_ACK_SENT,,,,,,,3,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:37:58.777+00:00Z,DECODE_SUCCESS_DUMMY,3,-21,"type: dummy, size: 16",,,,,,,,,,,,,,,,,,,,
2025-06-13T06:38:02.105+00:00Z,CTRL_PKT_RECV,4,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:38:02.114+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,4,0x55,,,,,,,,,,,,,,,
2025-06-13T06:38:09.125+00:00Z,CTRL_PKT_RECV,6,,,0x50,,,,,,,,,,,,,,,,,,,
