log_timestamp_utc,event_type,frame_seq_recv,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,rssi_dbm,ack_seq_sent,ack_type_sent_hex,decoded_ts_valid_check,decoded_latency_ms_calc,notes,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-09T08:32:26.946+00:00Z,DECODE_SUCCESS,77,,,40,,,,True,946,Msg #76,1749457946.0,0.263,-0.394,0.925,0.0,0.0,-0.1,-23.1,-14.7,-132.7,35.14773941040039,129.0269317626953,125.3
2025-06-09T08:32:28.407+00:00Z,CTRL_PKT_RECV,78,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:28.417+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,78,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:29.049+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:29.078+00:00Z,DATA_FRAME_RECV_FULL,78,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:29.089+00:00Z,DATA_ACK_SENT_OK,,,,,,78,0xaa,,,,,,,,,,,,,,,,
2025-06-09T08:32:29.090+00:00Z,DECODE_SUCCESS,78,,,37,,,,True,1090,Msg #77,1749457948.0,0.264,-0.394,0.923,0.0,0.0,0.0,-23.1,-14.7,-132.7,35.14775085449219,129.02691650390625,125.2
2025-06-09T08:32:30.552+00:00Z,CTRL_PKT_RECV,79,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:30.562+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,79,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:31.194+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:31.224+00:00Z,DATA_FRAME_RECV_FULL,79,DATA_FRAME,38,37,-97,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:31.234+00:00Z,DATA_ACK_SENT_OK,,,,,,79,0xaa,,,,,,,,,,,,,,,,
2025-06-09T08:32:31.235+00:00Z,DECODE_SUCCESS,79,,,37,,,,True,1235,Msg #78,1749457950.0,0.264,-0.395,0.924,0.0,0.0,0.0,-23.1,-14.7,-132.7,35.147743225097656,129.02691650390625,124.9
2025-06-09T08:32:32.700+00:00Z,CTRL_PKT_RECV,80,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:32.709+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,80,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:33.342+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:33.371+00:00Z,DATA_FRAME_RECV_FULL,80,DATA_FRAME,38,37,-95,,,,,,,,,,,,,,,,,,
